LEGAL_NAME,DOT_NUMBER,POWER_UNITS,FLEETSIZE,TOTAL_DRIVERS,PHY_CITY,PHY_STATE,PHY_STREET,PHY_ZIP,PHONE,EMAIL_ADDRESS,PRIMARY_SOURCE,WEBSITE,LINKEDIN,STATUS,NOTES
KVP ENERGY SERVICES LLC,2345072,538,T,595,ANDREWS,TX,1828 NW AVE F,79714,4325232046,fleet@kv-p.com,,,,,
TNT CRANE & RIGGING INC,1843980,500,T,400,HOUSTON,TX,925 SOUTH LOOP WEST,77054,,ariddick@tntcrane.com,,,,,
PREFERRED PUMP & EQUIPMENT LP,566051,489,T,282,FORT WORTH,TX,2201 SCOTT AVENUE,76103,8174132649,hwallace@preferredpump.com,,,,Pending,N/A
WCA WASTE CORPORATION,775195,486,T,349,HOUSTON,TX,2050 W SAM HOUSTON PARKWAY S,77042,9843013327,smckeel@gflenv.com,,,,,
MP TECHNOLOGIES LLC,1079468,485,T,476,CYPRESS,TX,14140 CYPRESS NORTH HOUSTON,77429,3209632416,mike.lambrecht@mpnexlevel.us,,,,,
INGRAM CONCRETE LLC,1988441,484,T,351,EULESS,TX,331 NORTH MAIN STREET,76039,,gonzalesrol@vmcmail.com,,,,,
ELLIOTT ELECTRIC SUPPLY INC,502385,479,T,465,NACOGDOCHES,TX,2526 NORTH STALLINGS DRIVE,75964,9365691184,VERTISTHACKER@ELLIOTTELECTRIC.COM,,,,Pending,
48FORTY SOLUTIONS LLC,1200996,462,T,435,HOUSTON,TX,11740 KATY FREEWAY SUITE 1200,77079,8662754840,andrew.gerrard@48Forty.com,,,,Pending,
REDDY ICE LLC,423998,461,T,555,DALLAS,TX,5710 LBJ FREEWAY SUITE 300,75240,2142135693,lMILLS@REDDYICE.COM,Official Website,https://www.reddyice.com/,https://www.linkedin.com/company/reddyice/,Proceed,
CROSS INTEGRATED TRANSPORT LLC,2195271,461,T,420,DALHART,TX,3263 FM 297,79022,8064781427,EMILIO@AGRILOGICS.NET,CarrierSource,https://www.carriersource.io/carriers/cross-integrated-transport-llc?__cf_chl_f_tk=nsOlPh7Oidr5Et4n5A4fuYA2uir8cDwPsbW9hqpHnM0-1783016063-1.0.1.1-Hd81M5C6nQ.hKFpvNUl9ykhCUhrO8DkOe9aVKxDnw9o,Not Found,Hold,Strong operational fit. No verified company website or executive contacts found. Hold pending communication channels.
TEXAS INTERNATIONAL ENTERPRISES INC,2196912,448,T,442,LAREDO,TX,13522 EVOLUTION LOOP,78045,9564412501,OSCAR.GOMEZ@TEXASIE.COM    GOMEZ@TEXASIE.COM,,,,,
SPIRIT TRUCK LINES LLC,437028,446,T,218,SAN JUAN,TX,200 WEST NOLANA,78589,,jdgarza@spirittrucklines.com,,,,,
ATMOS ENERGY CORPORATION,216478,441,T,845,DALLAS,TX,5430 LYNDON B JOHNSON FREEWAY 1800,75240,9728553028,Brian.perez@atmosEnergy.com,,,,,
COPART CATASTROPHE RESPONSE FLEET LLC,2869944,435,T,307,DALLAS,TX,14185 DALLAS PKWY STE 300,75254,2144326074,CARRIE.DEPEW@COPART.COM,,,,,
CEBRIDGE ACQUISITION LP,1540537,432,T,440,TYLER,TX,1820 S SW LOOP 323,75701,9034955598,brandi.harlan@alticeusa.com,,,,,
AGGREGATE HAULERS I L P,1021485,429,T,429,NEW BRAUNFELS,TX,4772 FM 482,78132,2104925501,POLIVAREZ@AHLP.COM,,,,,
GLAZER'S BEER AND BEVERAGE LLC,2892687,428,T,350,DALLAS,TX,14911 QUORUM DR SUITE 200,75254,9723928090,cody.renfro@glazersbeer.com,,,,,
CONTINENTAL BATTERY COMPANY,194390,419,T,439,DALLAS,TX,8585 N STEMMONS FWY STE 600S,75247,4694580884,afinman@gocbs.com,,,,,
RESA POWER SERVICE LLC,2491903,404,T,300,HOUSTON,TX,8723 FALLBROOK DR,77064,9799970363,VALER.BANUSHI@RESAPOWER.COM,,,,,
VSS TRANSPORTATION GROUP INC,2545275,400,S,351,CARROLLTON,TX,1325 W BELT LINE RD,75006,,verify@vsstg.com,,,,,
PEAK RENTALS LLC,2439611,390,S,237,GAINESVILLE,TX,3333 N I-35 STE 200,76240,9402845997,jpittmon@rentpeak.com,,,,,
FREIGHTSOL LLC,2154826,381,S,317,LAREDO,TX,12115 DOC ADAMS,78045,9564138050,ARAMOS@FREIGHTSOL.NET,,,,,
